	SC182	GRO-09_nasal_brush	D353_Brus_Nas1	SC173	D363_Brus_Nas1	SC184	SC174_SC173	SC174_SC172	GRO-04_nasal_brush	SC183	SC181	SC185
METTL13	859.0	746.0	567.0	312.0	338.0	373.0	156.0	183.0	409.0	418.0	172.0	95.0
DYRK4	551.0	745.0	635.0	308.0	257.0	404.0	182.0	188.0	513.0	286.0	168.0	46.0
ZNF207	4102.0	4055.0	6572.0	2304.0	4442.0	2545.0	1023.0	1221.0	3176.0	2638.0	1372.0	677.0
UQCRC1	8266.0	5177.0	3467.0	4133.0	2629.0	6653.0	2441.0	2625.0	4988.0	8613.0	3537.0	1647.0
STARD3NL	852.0	899.0	930.0	490.0	643.0	601.0	259.0	275.0	658.0	416.0	298.0	100.0
CD9	36462.0	30810.0	24863.0	17189.0	14939.0	24875.0	10412.0	13554.0	26624.0	38732.0	22645.0	6477.0
HHATL	19.0	31.0	18.0	0.0	3.0	29.0	1.0	2.0	29.0	0.0	0.0	1.0
NCAPD2	565.0	301.0	396.0	198.0	174.0	243.0	82.0	85.0	125.0	701.0	221.0	48.0
IFFO1	22.0	35.0	52.0	14.0	20.0	19.0	4.0	10.0	21.0	7.0	25.0	1.0
GIPR	515.0	525.0	366.0	79.0	146.0	613.0	35.0	28.0	667.0	109.0	55.0	73.0
PHF7	407.0	415.0	532.0	292.0	325.0	189.0	130.0	95.0	393.0	166.0	84.0	46.0
SEMA3G	4.0	0.0	2.0	2.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
NISCH	953.0	822.0	851.0	482.0	555.0	615.0	213.0	247.0	465.0	385.0	234.0	94.0
STAB1	6.0	2.0	16.0	4.0	4.0	2.0	2.0	24.0	0.0	27.0	115.0	1.0
FUZ	255.0	715.0	243.0	90.0	85.0	288.0	44.0	40.0	1018.0	93.0	80.0	22.0
SLC6A13	16.0	37.0	14.0	2.0	5.0	66.0	0.0	1.0	39.0	3.0	1.0	5.0
IDS	3609.0	3600.0	3704.0	1710.0	2241.0	1630.0	763.0	989.0	2840.0	1249.0	1018.0	499.0
PRSS3	239.0	244.0	370.0	253.0	826.0	138.0	106.0	110.0	178.0	457.0	301.0	58.0
ZNF200	319.0	304.0	463.0	170.0	307.0	160.0	72.0	84.0	239.0	167.0	59.0	41.0
CD4	95.0	213.0	102.0	39.0	36.0	38.0	19.0	28.0	165.0	28.0	312.0	15.0
LRRC23	3262.0	6001.0	2690.0	945.0	1101.0	2178.0	413.0	354.0	8469.0	436.0	334.0	341.0
BTK	24.0	9.0	14.0	3.0	9.0	0.0	3.0	6.0	4.0	9.0	115.0	2.0
HFE	135.0	168.0	332.0	74.0	166.0	100.0	29.0	42.0	102.0	88.0	57.0	21.0
SCMH1	432.0	457.0	525.0	192.0	295.0	263.0	84.0	103.0	244.0	177.0	88.0	31.0
FYN	120.0	228.0	117.0	54.0	71.0	75.0	20.0	27.0	228.0	53.0	241.0	14.0
HIVEP2	850.0	572.0	675.0	275.0	342.0	296.0	102.0	131.0	256.0	405.0	190.0	174.0
FMO1	3.0	2.0	11.0	0.0	1.0	3.0	0.0	0.0	1.0	2.0	1.0	2.0
TCEB3	1099.0	2421.0	1511.0	627.0	1034.0	707.0	270.0	312.0	974.0	760.0	395.0	190.0
LYPLA2	1052.0	2428.0	1464.0	1038.0	827.0	919.0	485.0	471.0	2215.0	932.0	482.0	250.0
CLCN6	395.0	314.0	373.0	164.0	223.0	176.0	75.0	101.0	198.0	138.0	73.0	43.0
MRC2	80.0	54.0	179.0	58.0	46.0	87.0	29.0	22.0	42.0	71.0	30.0	23.0
NME1-NME2	3.0	0.0	0.0	1.0	0.0	5.0	1.0	0.0	1.0	3.0	0.0	1.0
SLC6A7	1.0	1.0	1.0	1.0	5.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0
TSPAN9	609.0	512.0	788.0	391.0	487.0	258.0	170.0	193.0	222.0	337.0	95.0	45.0
BTBD7	1347.0	2440.0	1753.0	746.0	1094.0	750.0	349.0	434.0	969.0	721.0	368.0	188.0
APBA3	226.0	201.0	162.0	139.0	100.0	108.0	62.0	66.0	106.0	191.0	72.0	34.0
MKS1	440.0	546.0	357.0	222.0	143.0	312.0	108.0	89.0	711.0	143.0	75.0	48.0
ABHD5	1754.0	1220.0	1081.0	1152.0	960.0	559.0	501.0	604.0	772.0	761.0	548.0	327.0
ANOS1	146.0	115.0	161.0	28.0	39.0	126.0	16.0	17.0	62.0	76.0	27.0	15.0
AKAP8L	1524.0	1668.0	817.0	616.0	637.0	803.0	269.0	343.0	1430.0	747.0	476.0	264.0
MBTD1	395.0	386.0	413.0	130.0	248.0	199.0	65.0	74.0	171.0	213.0	70.0	51.0
UTP18	764.0	1126.0	602.0	502.0	424.0	546.0	202.0	288.0	756.0	527.0	331.0	118.0
RNF216	1127.0	1363.0	848.0	501.0	529.0	558.0	240.0	248.0	645.0	600.0	270.0	131.0
TTC19	2808.0	3821.0	2792.0	1223.0	1990.0	1766.0	664.0	793.0	1000.0	1474.0	701.0	872.0
PTBP1	2535.0	3068.0	3513.0	1423.0	2246.0	1403.0	615.0	689.0	2330.0	1682.0	1068.0	369.0
DPF1	7.0	68.0	8.0	3.0	4.0	11.0	1.0	0.0	110.0	10.0	7.0	0.0
SYT7	1480.0	823.0	2324.0	1199.0	1318.0	435.0	466.0	402.0	341.0	387.0	110.0	229.0
LARS2	274.0	268.0	122.0	100.0	132.0	133.0	50.0	70.0	166.0	185.0	87.0	29.0
PIK3C2A	1433.0	1608.0	1167.0	529.0	834.0	812.0	258.0	316.0	551.0	884.0	344.0	227.0
PLAUR	609.0	928.0	893.0	276.0	476.0	454.0	127.0	276.0	427.0	477.0	1456.0	124.0
ANLN	111.0	57.0	118.0	36.0	7.0	77.0	13.0	12.0	74.0	792.0	232.0	26.0
WIZ	679.0	676.0	630.0	288.0	418.0	304.0	101.0	152.0	284.0	390.0	172.0	88.0
RABGAP1	1782.0	1653.0	1320.0	517.0	927.0	820.0	304.0	332.0	761.0	853.0	420.0	243.0
DCN	11.0	8.0	12.0	59.0	0.0	19.0	15.0	23.0	0.0	0.0	0.0	33.0
QPCTL	104.0	16.0	45.0	23.0	16.0	46.0	25.0	23.0	13.0	50.0	33.0	11.0
PPP5C	1457.0	1028.0	526.0	515.0	441.0	676.0	270.0	303.0	916.0	784.0	333.0	125.0
CEP68	880.0	633.0	726.0	302.0	330.0	241.0	150.0	160.0	355.0	467.0	142.0	78.0
MAP4K3	1578.0	970.0	869.0	711.0	543.0	768.0	343.0	393.0	394.0	689.0	432.0	161.0
ZBTB32	8.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	11.0	3.0	6.0	0.0
TYROBP	389.0	250.0	1122.0	111.0	105.0	129.0	47.0	333.0	122.0	305.0	3585.0	48.0
TMEM159	1391.0	2142.0	923.0	733.0	409.0	488.0	334.0	455.0	746.0	582.0	328.0	120.0
GABRA3	12.0	19.0	35.0	18.0	12.0	6.0	8.0	7.0	13.0	13.0	9.0	1.0
BRCA1	177.0	331.0	179.0	59.0	63.0	165.0	22.0	30.0	208.0	184.0	52.0	20.0
ERCC1	1861.0	2052.0	1940.0	1130.0	1202.0	1328.0	500.0	518.0	3181.0	945.0	544.0	206.0
CD22	7.0	4.0	10.0	2.0	6.0	1.0	1.0	7.0	2.0	7.0	21.0	0.0
SEMA3B	108.0	91.0	111.0	71.0	83.0	95.0	40.0	44.0	64.0	67.0	58.0	11.0
MBTPS2	309.0	265.0	433.0	149.0	277.0	127.0	62.0	81.0	164.0	189.0	83.0	35.0
PRICKLE3	259.0	109.0	99.0	131.0	57.0	117.0	81.0	74.0	63.0	307.0	94.0	20.0
LTF	47.0	1729.0	30.0	62.0	5.0	220.0	41.0	164.0	84.0	444.0	143.0	18.0
EXTL3	211.0	254.0	346.0	180.0	209.0	156.0	79.0	87.0	128.0	188.0	68.0	32.0
NR1H4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ELOVL5	1811.0	2207.0	3467.0	806.0	2322.0	1419.0	367.0	552.0	1714.0	922.0	905.0	175.0
ALOX5	160.0	74.0	83.0	72.0	51.0	43.0	41.0	88.0	25.0	53.0	472.0	23.0
KDM5D	0.0	0.0	0.0	296.0	0.0	303.0	123.0	138.0	256.0	0.0	183.0	0.0
CALCOCO1	1464.0	1142.0	1100.0	569.0	598.0	809.0	261.0	350.0	706.0	660.0	308.0	222.0
UBR7	602.0	403.0	664.0	270.0	394.0	278.0	127.0	128.0	340.0	378.0	161.0	116.0
MAP4K5	1712.0	1556.0	1046.0	707.0	624.0	887.0	354.0	448.0	741.0	956.0	575.0	334.0
EHD3	168.0	129.0	122.0	124.0	74.0	92.0	52.0	69.0	58.0	167.0	109.0	24.0
PSMC4	2003.0	4433.0	1311.0	1025.0	1013.0	1304.0	620.0	642.0	2837.0	1614.0	870.0	222.0
MAN2B2	1340.0	810.0	945.0	531.0	628.0	509.0	239.0	256.0	441.0	407.0	253.0	141.0
SLC7A14	1.0	5.0	19.0	0.0	8.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
CLDN11	4.0	4.0	34.0	8.0	11.0	2.0	0.0	4.0	4.0	4.0	1.0	3.0
SLC25A39	3625.0	4557.0	3734.0	2824.0	3217.0	2718.0	1439.0	1800.0	3245.0	2436.0	1395.0	616.0
MVP	9192.0	5281.0	4148.0	3608.0	3051.0	5369.0	2013.0	2319.0	4727.0	5970.0	3208.0	1027.0
NUB1	1553.0	3947.0	1485.0	824.0	835.0	974.0	392.0	337.0	1469.0	721.0	402.0	252.0
PGM3	972.0	1687.0	862.0	370.0	632.0	719.0	179.0	238.0	747.0	508.0	286.0	150.0
RWDD2A	242.0	216.0	141.0	113.0	205.0	141.0	63.0	60.0	178.0	122.0	43.0	30.0
CLK1	1425.0	1441.0	1025.0	421.0	873.0	595.0	178.0	257.0	1395.0	667.0	248.0	118.0
POLR3B	380.0	362.0	162.0	108.0	93.0	135.0	44.0	57.0	134.0	283.0	105.0	28.0
ANGEL1	232.0	110.0	138.0	78.0	65.0	103.0	33.0	45.0	87.0	75.0	56.0	23.0
RNF14	1213.0	640.0	986.0	333.0	573.0	451.0	158.0	184.0	525.0	788.0	278.0	99.0
DNASE1L1	461.0	541.0	478.0	270.0	247.0	329.0	121.0	127.0	405.0	324.0	144.0	54.0
DDX11	859.0	512.0	806.0	150.0	439.0	336.0	77.0	181.0	265.0	226.0	168.0	73.0
HEBP1	1208.0	802.0	627.0	625.0	489.0	495.0	342.0	390.0	552.0	546.0	333.0	106.0
GPRC5A	3612.0	5305.0	3678.0	1249.0	2986.0	1508.0	547.0	1058.0	2398.0	2959.0	2254.0	1129.0
MAMLD1	62.0	10.0	24.0	12.0	27.0	11.0	3.0	3.0	6.0	41.0	35.0	5.0
CD6	48.0	36.0	86.0	44.0	29.0	33.0	23.0	20.0	72.0	39.0	32.0	6.0
TACC3	78.0	155.0	181.0	46.0	59.0	108.0	33.0	27.0	104.0	322.0	124.0	22.0
UFL1	2336.0	4445.0	2055.0	988.0	1155.0	1580.0	538.0	600.0	2342.0	1379.0	780.0	327.0
POLA2	530.0	462.0	394.0	200.0	204.0	286.0	91.0	162.0	358.0	364.0	142.0	31.0
ZC3H3	414.0	341.0	388.0	231.0	226.0	200.0	113.0	141.0	167.0	201.0	136.0	86.0
CAPN1	6015.0	5477.0	5550.0	3322.0	3546.0	3561.0	1530.0	1854.0	3951.0	5513.0	2617.0	591.0
ACPP	157.0	141.0	97.0	78.0	66.0	116.0	45.0	84.0	56.0	124.0	82.0	22.0
MDH1	4888.0	6079.0	2607.0	1932.0	1815.0	4768.0	1160.0	1506.0	5570.0	5495.0	1950.0	700.0
SLC30A9	2301.0	2205.0	1448.0	974.0	1052.0	1316.0	457.0	544.0	1106.0	1409.0	753.0	379.0
MTMR11	60.0	93.0	90.0	35.0	42.0	66.0	14.0	15.0	42.0	110.0	24.0	6.0
COX15	774.0	1047.0	770.0	279.0	411.0	408.0	135.0	198.0	489.0	364.0	190.0	77.0
CCDC88C	2424.0	2289.0	1743.0	715.0	961.0	1595.0	318.0	376.0	1875.0	1212.0	648.0	311.0
YAF2	513.0	1312.0	970.0	382.0	583.0	264.0	179.0	168.0	769.0	221.0	170.0	91.0
ZMYND11	1711.0	1349.0	1101.0	699.0	770.0	854.0	333.0	361.0	583.0	1034.0	526.0	202.0
WAS	87.0	24.0	35.0	31.0	21.0	16.0	18.0	36.0	43.0	55.0	308.0	7.0
DPEP1	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BID	1222.0	2437.0	1764.0	795.0	1431.0	974.0	428.0	601.0	1919.0	815.0	910.0	187.0
MATR3	612.0	84.0	35.0	68.0	19.0	164.0	47.0	64.0	37.0	325.0	147.0	47.0
NPC1L1	2.0	2.0	3.0	0.0	2.0	1.0	0.0	0.0	13.0	1.0	1.0	0.0
XYLT2	256.0	321.0	334.0	85.0	202.0	107.0	34.0	58.0	272.0	89.0	39.0	40.0
RGPD5	30.0	173.0	98.0	6.0	20.0	34.0	5.0	10.0	40.0	15.0	4.0	4.0
STMN4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NUDCD3	838.0	1324.0	885.0	399.0	487.0	409.0	180.0	207.0	718.0	433.0	145.0	101.0
ISL1	355.0	501.0	342.0	178.0	206.0	96.0	84.0	100.0	280.0	196.0	41.0	40.0
CHDH	159.0	278.0	546.0	135.0	235.0	153.0	40.0	64.0	141.0	114.0	45.0	56.0
IL20RA	1623.0	1708.0	3362.0	1459.0	1993.0	1111.0	624.0	549.0	1862.0	769.0	310.0	254.0
CLCA1	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
CLCA4	1367.0	2002.0	759.0	586.0	199.0	3827.0	346.0	728.0	446.0	10098.0	2236.0	297.0
GLT8D1	958.0	1282.0	816.0	572.0	548.0	859.0	289.0	277.0	1400.0	445.0	270.0	185.0
ATP2C1	1915.0	1773.0	2134.0	758.0	1301.0	1226.0	365.0	560.0	752.0	1102.0	537.0	217.0
IGF1	70.0	321.0	94.0	28.0	184.0	188.0	14.0	55.0	99.0	62.0	56.0	35.0
SLC38A5	48.0	68.0	61.0	7.0	6.0	85.0	3.0	5.0	23.0	53.0	20.0	29.0
RALBP1	3825.0	8566.0	4688.0	2974.0	3284.0	2802.0	1430.0	1753.0	4018.0	2202.0	1330.0	786.0
RUFY3	1044.0	1843.0	728.0	362.0	445.0	545.0	157.0	171.0	781.0	413.0	328.0	127.0
CNTN1	12.0	0.0	5.0	2.0	0.0	22.0	0.0	15.0	5.0	25.0	28.0	2.0
SLC11A1	80.0	101.0	139.0	42.0	64.0	62.0	13.0	22.0	63.0	47.0	101.0	11.0
WWTR1	1362.0	1948.0	1514.0	432.0	788.0	783.0	180.0	232.0	1043.0	582.0	309.0	161.0
AGPS	669.0	680.0	743.0	241.0	490.0	498.0	107.0	184.0	463.0	564.0	370.0	75.0
CXorf56	326.0	317.0	440.0	175.0	274.0	182.0	118.0	96.0	237.0	195.0	88.0	48.0
ATP1A2	1.0	5.0	10.0	1.0	6.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
TTC27	402.0	340.0	232.0	152.0	155.0	215.0	62.0	55.0	274.0	143.0	105.0	39.0
ZNF582	149.0	116.0	58.0	40.0	66.0	52.0	16.0	13.0	44.0	48.0	22.0	6.0
VSIG2	7690.0	8330.0	6733.0	6156.0	6554.0	6132.0	3497.0	5402.0	5739.0	3075.0	2429.0	1163.0
PHLDB1	68.0	59.0	131.0	13.0	35.0	49.0	8.0	3.0	39.0	34.0	5.0	7.0
MARCO	0.0	6.0	7.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	25.0	1.0
CYP24A1	173.0	1008.0	417.0	144.0	61.0	207.0	83.0	28.0	151.0	84.0	19.0	21.0
PRDM11	89.0	82.0	145.0	36.0	44.0	62.0	14.0	21.0	58.0	31.0	18.0	14.0
SYT13	1.0	5.0	0.0	1.0	0.0	14.0	0.0	0.0	3.0	0.0	0.0	0.0
SNAI2	37.0	53.0	118.0	22.0	39.0	16.0	8.0	5.0	24.0	112.0	20.0	21.0
CD74	71966.0	97481.0	59007.0	38362.0	26587.0	39345.0	21947.0	18229.0	46813.0	24491.0	70526.0	4615.0
HGF	7.0	7.0	3.0	1.0	4.0	1.0	0.0	1.0	5.0	2.0	5.0	1.0
ZRANB1	559.0	1169.0	782.0	402.0	476.0	394.0	173.0	191.0	540.0	315.0	161.0	117.0
NCDN	277.0	263.0	137.0	87.0	54.0	152.0	40.0	70.0	213.0	170.0	75.0	23.0
ADGRA2	12.0	1.0	3.0	1.0	0.0	5.0	1.0	2.0	4.0	11.0	2.0	4.0
ZFP64	530.0	251.0	395.0	339.0	237.0	181.0	133.0	194.0	187.0	268.0	97.0	38.0
MNAT1	1390.0	3977.0	1678.0	717.0	725.0	1097.0	387.0	488.0	3292.0	816.0	446.0	149.0
SAMD4A	196.0	304.0	369.0	96.0	252.0	117.0	30.0	29.0	102.0	84.0	79.0	33.0
RUNX3	100.0	197.0	794.0	183.0	120.0	90.0	62.0	76.0	252.0	155.0	400.0	51.0
MRE11A	821.0	872.0	402.0	264.0	289.0	469.0	111.0	160.0	523.0	427.0	196.0	102.0
PLEKHB1	213.0	686.0	259.0	90.0	61.0	329.0	31.0	31.0	886.0	36.0	37.0	38.0
SERPINB1	7524.0	12304.0	4567.0	3987.0	2297.0	4876.0	2369.0	2786.0	4832.0	15027.0	10111.0	830.0
CYP3A43	2.0	2.0	19.0	0.0	2.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0
SLC7A9	4.0	5.0	9.0	1.0	4.0	2.0	0.0	0.0	8.0	0.0	1.0	0.0
SPAST	544.0	685.0	725.0	292.0	317.0	358.0	155.0	164.0	250.0	501.0	196.0	90.0
NRXN3	8.0	49.0	25.0	0.0	5.0	39.0	0.0	7.0	12.0	2.0	4.0	0.0
OSBPL5	503.0	256.0	336.0	218.0	207.0	241.0	98.0	150.0	213.0	243.0	86.0	41.0
AQR	1182.0	1593.0	1094.0	452.0	660.0	712.0	208.0	286.0	687.0	742.0	337.0	130.0
CPS1	11.0	38.0	36.0	8.0	12.0	5.0	1.0	4.0	14.0	5.0	6.0	3.0
C8B	0.0	1.0	2.0	0.0	5.0	4.0	0.0	0.0	0.0	3.0	2.0	0.0
FHL1	15.0	63.0	25.0	4.0	6.0	25.0	1.0	4.0	89.0	14.0	20.0	2.0
RTFDC1	2560.0	3594.0	1864.0	1475.0	1302.0	1587.0	728.0	792.0	2128.0	1680.0	1168.0	458.0
GABRA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NLRP2	2.0	54.0	69.0	5.0	8.0	6.0	2.0	7.0	47.0	28.0	10.0	1.0
SLC45A4	484.0	351.0	782.0	168.0	363.0	377.0	57.0	138.0	317.0	203.0	166.0	68.0
RNF10	2849.0	3333.0	3853.0	1833.0	3010.0	1550.0	780.0	940.0	1819.0	1409.0	874.0	405.0
ZNF839	387.0	320.0	259.0	188.0	183.0	236.0	123.0	107.0	213.0	159.0	89.0	49.0
ZDHHC6	624.0	756.0	904.0	431.0	554.0	284.0	190.0	188.0	600.0	323.0	251.0	62.0
GRAMD1B	317.0	464.0	398.0	239.0	216.0	166.0	114.0	163.0	130.0	103.0	41.0	36.0
RNH1	4680.0	5910.0	3320.0	3000.0	2643.0	3765.0	1734.0	1961.0	4720.0	4966.0	2535.0	832.0
NDUFS1	2466.0	2545.0	1633.0	892.0	896.0	1500.0	444.0	637.0	1396.0	1777.0	872.0	291.0
RB1CC1	3948.0	6877.0	2849.0	1992.0	1931.0	2568.0	900.0	1162.0	3613.0	2052.0	1098.0	1122.0
ERP44	2303.0	3949.0	1482.0	934.0	887.0	1411.0	491.0	632.0	1996.0	1254.0	783.0	356.0
ALAS1	1336.0	1929.0	1057.0	801.0	693.0	1067.0	413.0	561.0	1197.0	1264.0	416.0	197.0
BIRC3	880.0	4994.0	3365.0	498.0	1773.0	474.0	252.0	256.0	828.0	389.0	389.0	141.0
AKAP11	2166.0	1468.0	1186.0	551.0	745.0	857.0	226.0	282.0	674.0	830.0	390.0	253.0
GLRX2	680.0	1195.0	497.0	393.0	318.0	376.0	216.0	261.0	547.0	551.0	311.0	66.0
SNAPC1	437.0	1928.0	720.0	218.0	358.0	340.0	106.0	98.0	1257.0	211.0	73.0	51.0
DERA	1839.0	1822.0	1498.0	1096.0	1214.0	1350.0	570.0	655.0	1338.0	1262.0	678.0	338.0
STRAP	3223.0	2685.0	3831.0	2133.0	3092.0	2092.0	992.0	1261.0	2151.0	2297.0	1308.0	548.0
ABCC2	31.0	31.0	18.0	8.0	8.0	14.0	2.0	4.0	72.0	6.0	3.0	2.0
DEF6	697.0	365.0	461.0	411.0	382.0	362.0	191.0	227.0	556.0	545.0	371.0	64.0
PLEKHO1	99.0	117.0	111.0	41.0	30.0	55.0	12.0	37.0	51.0	51.0	391.0	13.0
GCLM	4952.0	5102.0	4675.0	2614.0	3329.0	2215.0	1280.0	1212.0	2669.0	1763.0	1107.0	512.0
UBR2	1500.0	1937.0	1036.0	570.0	637.0	664.0	294.0	368.0	805.0	890.0	399.0	144.0
EHD2	71.0	65.0	73.0	30.0	44.0	80.0	16.0	24.0	32.0	276.0	105.0	5.0
DEPDC1	16.0	31.0	62.0	6.0	9.0	13.0	2.0	4.0	39.0	220.0	33.0	5.0
CCDC28A	1133.0	1942.0	1721.0	656.0	681.0	803.0	331.0	351.0	1993.0	360.0	216.0	178.0
RRAGD	2127.0	1522.0	1782.0	687.0	981.0	754.0	322.0	367.0	806.0	612.0	587.0	186.0
HSF2	581.0	735.0	349.0	190.0	194.0	347.0	92.0	118.0	540.0	285.0	114.0	80.0
PHF20	1065.0	2751.0	1789.0	609.0	785.0	595.0	259.0	393.0	1396.0	486.0	373.0	148.0
HSD17B6	10.0	38.0	14.0	7.0	9.0	30.0	2.0	0.0	46.0	35.0	5.0	3.0
NR1H3	204.0	228.0	252.0	168.0	156.0	150.0	71.0	109.0	105.0	136.0	78.0	13.0
TYMP	2812.0	12372.0	6717.0	3630.0	3566.0	2696.0	1878.0	1220.0	2049.0	2979.0	1758.0	436.0
NCAPH2	429.0	389.0	534.0	253.0	364.0	397.0	123.0	113.0	385.0	340.0	138.0	125.0
TOMM34	835.0	886.0	614.0	355.0	355.0	440.0	180.0	206.0	1123.0	324.0	192.0	85.0
SEC63	3556.0	5981.0	3990.0	1562.0	2785.0	2061.0	697.0	799.0	3336.0	1352.0	929.0	536.0
KPNA6	1552.0	2426.0	2359.0	863.0	1505.0	861.0	320.0	379.0	1249.0	897.0	403.0	210.0
VIM	2228.0	1329.0	1001.0	811.0	159.0	500.0	333.0	875.0	1176.0	730.0	9449.0	315.0
RTEL1-TNFRSF6B	26.0	23.0	1.0	13.0	0.0	22.0	4.0	17.0	2.0	9.0	28.0	1.0
FAS	355.0	866.0	505.0	222.0	220.0	153.0	117.0	100.0	293.0	322.0	174.0	57.0
RNASET2	3496.0	3332.0	1973.0	1498.0	1653.0	3008.0	846.0	1330.0	3518.0	1423.0	1565.0	533.0
CD44	2941.0	2910.0	3533.0	1461.0	1952.0	2069.0	680.0	1071.0	1468.0	5940.0	3165.0	454.0
KCNG1	20.0	24.0	42.0	10.0	35.0	13.0	4.0	3.0	16.0	12.0	4.0	3.0
AGPAT4	61.0	130.0	59.0	19.0	23.0	88.0	11.0	20.0	194.0	57.0	77.0	12.0
SLAMF7	122.0	79.0	267.0	48.0	112.0	27.0	20.0	35.0	43.0	38.0	96.0	14.0
BTN3A1	422.0	1283.0	731.0	282.0	359.0	226.0	116.0	73.0	343.0	136.0	80.0	30.0
MIPEP	1110.0	1353.0	626.0	321.0	354.0	1024.0	159.0	162.0	1409.0	294.0	256.0	138.0
PRKCH	311.0	313.0	356.0	239.0	197.0	112.0	103.0	116.0	222.0	314.0	169.0	98.0
INSRR	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IFNGR1	3417.0	2918.0	2315.0	1675.0	1360.0	1780.0	830.0	1102.0	1460.0	2446.0	1882.0	546.0
B4GALT7	692.0	1157.0	1084.0	473.0	592.0	469.0	243.0	193.0	957.0	250.0	174.0	50.0
SH2D2A	22.0	17.0	8.0	18.0	7.0	13.0	17.0	21.0	246.0	25.0	59.0	1.0
VRK2	1131.0	1263.0	551.0	615.0	457.0	578.0	250.0	282.0	651.0	627.0	390.0	159.0
TNFRSF1B	54.0	87.0	145.0	31.0	42.0	12.0	17.0	38.0	104.0	38.0	220.0	3.0
VEZT	989.0	1943.0	1734.0	543.0	917.0	761.0	233.0	252.0	840.0	619.0	353.0	124.0
POU2F2	52.0	192.0	136.0	43.0	82.0	44.0	20.0	29.0	79.0	22.0	68.0	17.0
BRD9	635.0	1471.0	472.0	492.0	403.0	572.0	230.0	239.0	580.0	380.0	206.0	152.0
SNX1	2061.0	1274.0	1198.0	882.0	672.0	1227.0	483.0	525.0	906.0	1307.0	670.0	299.0
TBPL1	636.0	689.0	867.0	358.0	383.0	408.0	201.0	188.0	545.0	339.0	204.0	64.0
ARNTL2	1044.0	878.0	1323.0	403.0	853.0	412.0	200.0	306.0	310.0	861.0	667.0	173.0
BCLAF1	6660.0	10840.0	3623.0	2267.0	2036.0	3054.0	1087.0	1310.0	4938.0	3134.0	1961.0	780.0
SLC39A9	1109.0	1029.0	1796.0	584.0	1011.0	619.0	262.0	305.0	918.0	607.0	259.0	108.0
ANK1	37.0	1835.0	305.0	54.0	150.0	77.0	26.0	21.0	91.0	24.0	20.0	7.0
IBSP	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TFB1M	456.0	699.0	384.0	264.0	190.0	408.0	134.0	155.0	519.0	440.0	147.0	98.0
RABEP1	1138.0	2602.0	1235.0	515.0	653.0	688.0	242.0	249.0	954.0	524.0	262.0	161.0
HMGB3	1380.0	2638.0	2447.0	1563.0	1233.0	1498.0	781.0	1525.0	2189.0	2862.0	827.0	387.0
NUP160	788.0	770.0	1093.0	404.0	646.0	422.0	201.0	198.0	609.0	462.0	247.0	104.0
BAK1	376.0	1100.0	927.0	312.0	554.0	425.0	148.0	132.0	665.0	278.0	185.0	40.0
MUSK	4.0	1.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0	2.0	2.0	0.0
IKZF2	3015.0	2627.0	2517.0	818.0	1515.0	1636.0	368.0	469.0	1218.0	1257.0	668.0	365.0
GRN	17318.0	11143.0	9750.0	10411.0	9141.0	8335.0	5567.0	6187.0	6689.0	8039.0	5139.0	2711.0
FAM13B	1626.0	1063.0	975.0	664.0	614.0	719.0	316.0	402.0	502.0	677.0	502.0	148.0
ARHGAP31	160.0	40.0	49.0	44.0	30.0	43.0	14.0	28.0	11.0	60.0	190.0	12.0
CENPQ	138.0	260.0	222.0	93.0	169.0	112.0	36.0	41.0	170.0	84.0	47.0	18.0
SARS	2055.0	3446.0	1541.0	936.0	922.0	1282.0	504.0	569.0	1644.0	1632.0	722.0	289.0
RANBP3	763.0	780.0	583.0	423.0	362.0	466.0	182.0	222.0	451.0	472.0	200.0	127.0
ARID4A	733.0	1753.0	920.0	389.0	617.0	467.0	189.0	220.0	905.0	367.0	243.0	132.0
TSSC1	682.0	1616.0	796.0	470.0	585.0	558.0	273.0	281.0	1147.0	387.0	227.0	61.0
PNPLA6	694.0	522.0	625.0	296.0	405.0	409.0	148.0	226.0	254.0	350.0	156.0	69.0
IFT88	1112.0	2276.0	829.0	326.0	323.0	1054.0	131.0	136.0	1898.0	293.0	166.0	163.0
