	GRO-03_biopsy	GRO-10_biopsy	GRO-08_biopsy	D372_Biop_Int2	GRO-06_biopsy	D326_Biop_Pro1	GRO-09_biopsy	D367_Biop_Pro1	D372_Biop_Pro1	D353_Biop_Pro1	D339_Biop_Int1	D354_Biop_Int2	GRO-04_biopsy	GRO-07_biopsy
PLEKHG6	244.0	168.0	113.0	96.0	219.0	78.0	217.0	54.0	94.0	12.0	41.0	26.0	82.0	215.0
SS18L2	2557.0	2063.0	1076.0	811.0	1474.0	996.0	3148.0	855.0	1447.0	367.0	663.0	325.0	2137.0	1708.0
MPND	377.0	214.0	165.0	41.0	221.0	89.0	664.0	51.0	73.0	15.0	53.0	12.0	100.0	321.0
MGST1	18347.0	10967.0	7426.0	6516.0	10849.0	9443.0	25222.0	9346.0	10932.0	3971.0	9640.0	4379.0	12211.0	14080.0
CRY1	342.0	264.0	214.0	96.0	338.0	60.0	361.0	76.0	92.0	33.0	46.0	18.0	233.0	369.0
PGLYRP1	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NFIX	4063.0	2864.0	1879.0	249.0	3889.0	882.0	3189.0	954.0	1279.0	283.0	277.0	249.0	1330.0	4113.0
ST3GAL1	600.0	632.0	491.0	60.0	863.0	206.0	1762.0	150.0	141.0	25.0	35.0	48.0	394.0	890.0
MMP25	78.0	12.0	15.0	2.0	44.0	1.0	48.0	0.0	0.0	0.0	5.0	2.0	13.0	28.0
IL32	4687.0	4948.0	4331.0	251.0	2920.0	273.0	15161.0	105.0	223.0	23.0	48.0	8.0	8814.0	4932.0
PKD1	997.0	947.0	667.0	96.0	1069.0	336.0	1031.0	263.0	407.0	92.0	68.0	52.0	547.0	1323.0
MAPK8IP2	38.0	27.0	33.0	0.0	29.0	8.0	53.0	16.0	14.0	0.0	2.0	5.0	23.0	46.0
MED24	1230.0	1245.0	657.0	429.0	1293.0	362.0	3564.0	360.0	497.0	133.0	115.0	59.0	1143.0	1655.0
RHOBTB2	324.0	209.0	222.0	60.0	227.0	79.0	346.0	71.0	111.0	33.0	15.0	36.0	130.0	219.0
HEATR5B	408.0	474.0	479.0	82.0	768.0	144.0	422.0	95.0	92.0	78.0	49.0	67.0	304.0	727.0
SEC62	7595.0	17028.0	9860.0	7194.0	14387.0	8718.0	9340.0	6000.0	9284.0	3085.0	3205.0	3867.0	12481.0	19397.0
RPS20	68241.0	74969.0	55996.0	20344.0	89451.0	89249.0	191392.0	53876.0	90583.0	8694.0	21950.0	9910.0	73484.0	106238.0
CSDE1	9486.0	6517.0	5704.0	3377.0	8047.0	3609.0	9003.0	4090.0	6639.0	2283.0	2376.0	1942.0	3869.0	8543.0
UBE3C	612.0	744.0	617.0	79.0	1164.0	207.0	1177.0	277.0	234.0	88.0	152.0	77.0	457.0	1164.0
REV3L	2343.0	2207.0	1925.0	277.0	2800.0	626.0	2200.0	379.0	471.0	205.0	220.0	117.0	1548.0	2670.0
TENM1	40.0	44.0	21.0	0.0	34.0	5.0	29.0	5.0	3.0	2.0	0.0	3.0	4.0	30.0
PAX7	37.0	35.0	5.0	8.0	42.0	5.0	35.0	2.0	2.0	2.0	3.0	0.0	8.0	11.0
MASP2	5.0	1.0	3.0	1.0	7.0	3.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	2.0
IYD	44.0	31.0	37.0	14.0	58.0	41.0	57.0	23.0	21.0	13.0	23.0	18.0	60.0	85.0
FAM76A	1108.0	1217.0	643.0	36.0	983.0	235.0	762.0	273.0	292.0	113.0	81.0	104.0	575.0	1163.0
TRAF3IP3	541.0	677.0	741.0	33.0	434.0	74.0	1772.0	10.0	31.0	3.0	19.0	1.0	800.0	619.0
POMT2	140.0	151.0	104.0	33.0	203.0	37.0	271.0	46.0	19.0	8.0	7.0	31.0	116.0	217.0
VTA1	739.0	781.0	547.0	142.0	1102.0	231.0	960.0	262.0	264.0	124.0	231.0	94.0	546.0	997.0
MLXIPL	172.0	60.0	61.0	38.0	77.0	77.0	55.0	54.0	75.0	6.0	22.0	25.0	40.0	172.0
BAZ1B	3500.0	2249.0	2206.0	522.0	5456.0	879.0	4981.0	572.0	999.0	130.0	257.0	165.0	1521.0	4604.0
RANBP9	872.0	760.0	447.0	57.0	821.0	159.0	719.0	161.0	263.0	108.0	88.0	102.0	509.0	860.0
ETV7	429.0	236.0	186.0	55.0	258.0	190.0	913.0	221.0	207.0	31.0	142.0	26.0	257.0	364.0
SPRTN	648.0	567.0	440.0	247.0	579.0	330.0	924.0	249.0	459.0	39.0	138.0	73.0	479.0	727.0
METTL13	434.0	291.0	253.0	88.0	372.0	222.0	638.0	192.0	354.0	62.0	120.0	67.0	273.0	381.0
DYRK4	723.0	526.0	327.0	303.0	475.0	344.0	1033.0	281.0	449.0	146.0	186.0	94.0	505.0	543.0
ZNF207	4794.0	3560.0	2414.0	877.0	4248.0	1661.0	4890.0	1896.0	2145.0	453.0	846.0	437.0	2320.0	3985.0
UQCRC1	8167.0	4669.0	2989.0	5089.0	4141.0	3832.0	12115.0	4747.0	8312.0	2087.0	3825.0	1764.0	4522.0	4647.0
STARD3NL	1137.0	1008.0	572.0	224.0	933.0	362.0	1293.0	334.0	440.0	174.0	259.0	161.0	728.0	997.0
CD9	68464.0	49068.0	27554.0	29102.0	37760.0	26805.0	62677.0	25138.0	56369.0	13517.0	37890.0	8763.0	35206.0	42606.0
HHATL	32.0	61.0	41.0	6.0	72.0	3.0	38.0	12.0	5.0	3.0	0.0	3.0	32.0	89.0
NCAPD2	227.0	258.0	222.0	95.0	389.0	111.0	405.0	120.0	202.0	35.0	82.0	57.0	137.0	294.0
IFFO1	70.0	54.0	71.0	11.0	70.0	26.0	184.0	5.0	31.0	2.0	10.0	6.0	35.0	85.0
GIPR	364.0	636.0	522.0	17.0	833.0	71.0	328.0	77.0	54.0	66.0	35.0	46.0	406.0	1041.0
PHF7	404.0	334.0	200.0	72.0	389.0	238.0	419.0	136.0	300.0	37.0	89.0	38.0	219.0	453.0
SEMA3G	60.0	95.0	20.0	23.0	21.0	3.0	75.0	6.0	9.0	1.0	5.0	3.0	16.0	35.0
NISCH	1307.0	814.0	622.0	33.0	977.0	334.0	1312.0	346.0	458.0	116.0	51.0	144.0	531.0	945.0
STAB1	50.0	82.0	33.0	47.0	61.0	23.0	403.0	29.0	30.0	5.0	38.0	4.0	25.0	53.0
FUZ	1120.0	1110.0	993.0	341.0	975.0	409.0	984.0	190.0	655.0	338.0	94.0	250.0	1385.0	1564.0
SLC6A13	14.0	16.0	97.0	1.0	22.0	9.0	13.0	5.0	3.0	9.0	4.0	14.0	16.0	29.0
IDS	3187.0	3284.0	2952.0	242.0	4184.0	786.0	5249.0	585.0	821.0	170.0	173.0	230.0	2456.0	4837.0
PRSS3	26.0	18.0	3.0	0.0	8.0	1.0	7.0	0.0	1.0	0.0	23.0	0.0	12.0	5.0
ZNF200	283.0	260.0	176.0	79.0	292.0	173.0	377.0	101.0	225.0	14.0	100.0	48.0	171.0	311.0
CD4	199.0	387.0	337.0	26.0	444.0	49.0	1270.0	23.0	82.0	52.0	33.0	40.0	420.0	750.0
LRRC23	2057.0	3796.0	2961.0	276.0	4429.0	720.0	3837.0	525.0	777.0	649.0	215.0	502.0	4450.0	6886.0
BTK	69.0	85.0	60.0	31.0	148.0	12.0	362.0	15.0	21.0	7.0	1.0	5.0	39.0	121.0
HFE	141.0	159.0	126.0	27.0	251.0	174.0	223.0	107.0	113.0	37.0	50.0	32.0	91.0	318.0
SCMH1	702.0	502.0	327.0	118.0	590.0	306.0	878.0	221.0	385.0	65.0	76.0	126.0	348.0	563.0
FYN	529.0	679.0	663.0	55.0	965.0	74.0	2198.0	32.0	18.0	18.0	28.0	21.0	1085.0	977.0
HIVEP2	530.0	392.0	324.0	11.0	602.0	85.0	670.0	85.0	100.0	18.0	60.0	22.0	263.0	544.0
FMO1	13.0	5.0	4.0	4.0	12.0	76.0	34.0	181.0	92.0	17.0	12.0	5.0	8.0	6.0
TCEB3	1544.0	1112.0	780.0	305.0	1434.0	473.0	2269.0	315.0	561.0	74.0	226.0	154.0	887.0	1602.0
LYPLA2	1549.0	1167.0	838.0	382.0	1141.0	523.0	2327.0	367.0	770.0	130.0	149.0	182.0	1498.0	1426.0
CLCN6	307.0	194.0	219.0	6.0	261.0	81.0	290.0	55.0	74.0	2.0	1.0	12.0	133.0	391.0
MRC2	194.0	192.0	154.0	22.0	149.0	114.0	205.0	34.0	103.0	6.0	4.0	12.0	48.0	183.0
NME1-NME2	9.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SLC6A7	1.0	1.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
TSPAN9	332.0	316.0	186.0	69.0	301.0	160.0	726.0	130.0	210.0	28.0	41.0	42.0	181.0	258.0
BTBD7	1538.0	1663.0	958.0	189.0	2273.0	566.0	2207.0	421.0	537.0	166.0	214.0	155.0	760.0	2267.0
APBA3	303.0	197.0	163.0	165.0	244.0	120.0	378.0	68.0	218.0	61.0	51.0	49.0	178.0	275.0
MKS1	410.0	448.0	425.0	101.0	655.0	144.0	435.0	113.0	228.0	39.0	17.0	63.0	531.0	761.0
ABHD5	673.0	800.0	506.0	149.0	852.0	112.0	930.0	132.0	143.0	26.0	94.0	33.0	524.0	812.0
ANOS1	3160.0	1850.0	1638.0	777.0	2285.0	1222.0	2336.0	933.0	1565.0	435.0	533.0	383.0	830.0	2216.0
AKAP8L	2094.0	1380.0	664.0	52.0	1114.0	330.0	1674.0	117.0	257.0	25.0	52.0	41.0	741.0	1396.0
MBTD1	502.0	404.0	324.0	15.0	459.0	127.0	376.0	138.0	52.0	43.0	53.0	19.0	229.0	442.0
UTP18	1205.0	1006.0	664.0	436.0	946.0	517.0	1466.0	453.0	885.0	199.0	350.0	188.0	774.0	1074.0
RNF216	1010.0	836.0	773.0	147.0	1247.0	475.0	1465.0	219.0	409.0	106.0	131.0	111.0	664.0	1449.0
TTC19	3971.0	2489.0	2060.0	1122.0	2463.0	1276.0	3891.0	905.0	2099.0	740.0	648.0	505.0	760.0	3125.0
PTBP1	3784.0	2797.0	1997.0	398.0	3761.0	861.0	4162.0	710.0	1099.0	313.0	333.0	238.0	1913.0	3679.0
DPF1	9.0	33.0	9.0	2.0	24.0	3.0	41.0	3.0	9.0	1.0	5.0	9.0	65.0	66.0
SYT7	13.0	24.0	27.0	20.0	36.0	22.0	50.0	19.0	9.0	0.0	4.0	4.0	15.0	163.0
LARS2	114.0	125.0	157.0	18.0	205.0	40.0	187.0	25.0	21.0	16.0	17.0	24.0	92.0	216.0
PIK3C2A	1202.0	1396.0	963.0	197.0	2099.0	389.0	1722.0	329.0	300.0	75.0	180.0	66.0	569.0	1792.0
PLAUR	5732.0	2050.0	2550.0	53.0	5647.0	89.0	4232.0	84.0	103.0	29.0	94.0	23.0	1906.0	3835.0
ANLN	117.0	107.0	44.0	41.0	66.0	6.0	176.0	44.0	50.0	0.0	81.0	12.0	59.0	45.0
WIZ	312.0	351.0	196.0	2.0	450.0	128.0	770.0	87.0	149.0	13.0	64.0	39.0	190.0	529.0
RABGAP1	1766.0	1433.0	1056.0	172.0	1897.0	484.0	1600.0	527.0	564.0	148.0	174.0	161.0	812.0	1882.0
DCN	6686.0	8551.0	4373.0	3714.0	1765.0	861.0	4450.0	534.0	2440.0	146.0	549.0	250.0	824.0	1663.0
QPCTL	22.0	10.0	38.0	12.0	78.0	36.0	28.0	13.0	34.0	5.0	1.0	3.0	11.0	30.0
PPP5C	892.0	734.0	655.0	245.0	704.0	253.0	1341.0	257.0	558.0	55.0	113.0	115.0	738.0	832.0
CEP68	1737.0	1170.0	909.0	241.0	1293.0	883.0	1570.0	519.0	999.0	165.0	147.0	169.0	581.0	1256.0
MAP4K3	680.0	536.0	437.0	102.0	673.0	138.0	627.0	139.0	145.0	71.0	40.0	65.0	263.0	676.0
ZBTB32	11.0	19.0	17.0	0.0	10.0	0.0	56.0	0.0	0.0	0.0	2.0	0.0	46.0	5.0
TYROBP	1964.0	2708.0	2042.0	363.0	2904.0	445.0	13274.0	482.0	795.0	235.0	296.0	262.0	1719.0	3701.0
TMEM159	989.0	1011.0	717.0	87.0	1056.0	472.0	1761.0	318.0	467.0	97.0	0.0	109.0	640.0	1196.0
GABRA3	43.0	16.0	32.0	0.0	47.0	5.0	14.0	16.0	1.0	1.0	2.0	2.0	4.0	44.0
BRCA1	256.0	322.0	244.0	53.0	381.0	93.0	575.0	96.0	44.0	25.0	49.0	41.0	185.0	491.0
ERCC1	2932.0	2117.0	1421.0	530.0	2116.0	1402.0	3085.0	964.0	1622.0	390.0	359.0	373.0	2182.0	2592.0
CD22	32.0	102.0	28.0	10.0	110.0	9.0	119.0	6.0	9.0	5.0	5.0	3.0	25.0	72.0
SEMA3B	153.0	129.0	78.0	63.0	76.0	28.0	127.0	35.0	72.0	12.0	21.0	6.0	48.0	92.0
MBTPS2	303.0	303.0	227.0	64.0	292.0	95.0	305.0	97.0	129.0	68.0	112.0	44.0	148.0	334.0
PRICKLE3	181.0	90.0	74.0	43.0	98.0	69.0	178.0	58.0	111.0	27.0	81.0	24.0	65.0	133.0
LTF	2885.0	2319.0	4677.0	910.0	2211.0	2918.0	20254.0	3343.0	669.0	881.0	192.0	2637.0	1147.0	1033.0
EXTL3	197.0	219.0	165.0	20.0	250.0	96.0	409.0	116.0	52.0	43.0	25.0	37.0	148.0	217.0
NR1H4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
ELOVL5	1825.0	1638.0	1109.0	261.0	2057.0	526.0	2482.0	738.0	896.0	238.0	476.0	160.0	997.0	2227.0
ALOX5	155.0	119.0	97.0	50.0	325.0	29.0	595.0	17.0	62.0	21.0	8.0	23.0	109.0	183.0
KDM5D	663.0	584.0	513.0	0.0	762.0	209.0	0.0	128.0	0.0	0.0	67.0	70.0	347.0	768.0
CALCOCO1	947.0	965.0	733.0	153.0	1168.0	411.0	1205.0	262.0	486.0	46.0	75.0	103.0	643.0	1380.0
UBR7	454.0	341.0	310.0	95.0	409.0	208.0	536.0	143.0	305.0	41.0	93.0	61.0	320.0	370.0
MAP4K5	2097.0	1322.0	991.0	189.0	1500.0	294.0	1427.0	333.0	389.0	136.0	278.0	123.0	709.0	1509.0
EHD3	117.0	85.0	40.0	22.0	79.0	41.0	212.0	20.0	39.0	10.0	17.0	1.0	37.0	76.0
PSMC4	2738.0	2057.0	1505.0	1342.0	1922.0	1262.0	5312.0	1320.0	2256.0	647.0	1029.0	549.0	2151.0	2295.0
MAN2B2	436.0	395.0	355.0	111.0	896.0	225.0	764.0	136.0	275.0	82.0	12.0	60.0	285.0	812.0
SLC7A14	1.0	9.0	18.0	2.0	18.0	17.0	11.0	5.0	7.0	1.0	7.0	1.0	3.0	15.0
CLDN11	121.0	116.0	67.0	21.0	36.0	38.0	74.0	42.0	79.0	11.0	32.0	11.0	20.0	48.0
SLC25A39	2967.0	1694.0	1119.0	787.0	1285.0	989.0	4601.0	777.0	1504.0	419.0	800.0	256.0	1580.0	1925.0
MVP	2802.0	2806.0	1922.0	1626.0	2734.0	1545.0	5794.0	1701.0	2482.0	536.0	1485.0	465.0	2572.0	2973.0
NUB1	1717.0	1696.0	1579.0	354.0	2975.0	550.0	2565.0	471.0	788.0	232.0	119.0	214.0	1225.0	2686.0
PGM3	724.0	612.0	510.0	157.0	764.0	175.0	861.0	216.0	290.0	114.0	170.0	104.0	408.0	806.0
RWDD2A	97.0	116.0	83.0	45.0	118.0	79.0	173.0	70.0	83.0	50.0	27.0	38.0	112.0	154.0
CLK1	5295.0	4496.0	2667.0	320.0	4814.0	344.0	3741.0	470.0	729.0	183.0	53.0	133.0	3542.0	5410.0
POLR3B	391.0	203.0	233.0	38.0	321.0	83.0	328.0	83.0	106.0	38.0	58.0	28.0	214.0	334.0
ANGEL1	116.0	104.0	76.0	1.0	124.0	30.0	179.0	29.0	30.0	13.0	32.0	20.0	59.0	119.0
RNF14	723.0	569.0	532.0	311.0	764.0	394.0	764.0	360.0	501.0	184.0	250.0	125.0	396.0	844.0
DNASE1L1	634.0	358.0	302.0	66.0	367.0	287.0	694.0	198.0	380.0	68.0	67.0	56.0	273.0	464.0
DDX11	344.0	498.0	244.0	82.0	392.0	137.0	552.0	211.0	302.0	29.0	69.0	37.0	177.0	186.0
HEBP1	1470.0	916.0	656.0	616.0	830.0	1088.0	1754.0	836.0	1615.0	247.0	362.0	230.0	578.0	989.0
GPRC5A	12696.0	4928.0	3273.0	430.0	9823.0	466.0	6550.0	762.0	702.0	128.0	249.0	135.0	3070.0	10243.0
MAMLD1	35.0	39.0	23.0	7.0	26.0	3.0	44.0	1.0	10.0	6.0	10.0	2.0	16.0	27.0
CD6	194.0	204.0	266.0	3.0	229.0	43.0	657.0	25.0	11.0	11.0	3.0	12.0	223.0	253.0
TACC3	149.0	175.0	147.0	65.0	163.0	30.0	562.0	67.0	76.0	3.0	38.0	13.0	103.0	151.0
UFL1	3400.0	2450.0	2114.0	715.0	2960.0	927.0	3899.0	885.0	1275.0	291.0	673.0	319.0	2326.0	3188.0
POLA2	446.0	222.0	181.0	118.0	327.0	202.0	695.0	226.0	238.0	49.0	108.0	48.0	259.0	359.0
ZC3H3	218.0	194.0	141.0	105.0	245.0	99.0	268.0	62.0	135.0	56.0	73.0	24.0	123.0	264.0
CAPN1	4976.0	2914.0	2359.0	2013.0	3431.0	2877.0	6790.0	1891.0	4767.0	469.0	1550.0	397.0	2150.0	4102.0
ACPP	61.0	36.0	59.0	22.0	73.0	19.0	126.0	13.0	18.0	10.0	25.0	5.0	41.0	58.0
MDH1	6753.0	4380.0	3778.0	3523.0	5116.0	3741.0	8337.0	4313.0	6901.0	2340.0	3247.0	1937.0	5158.0	5334.0
SLC30A9	1852.0	1157.0	1091.0	393.0	1418.0	400.0	1551.0	434.0	672.0	264.0	237.0	175.0	933.0	1462.0
MTMR11	260.0	177.0	107.0	70.0	133.0	99.0	303.0	45.0	161.0	53.0	64.0	45.0	98.0	201.0
COX15	813.0	575.0	483.0	62.0	757.0	243.0	815.0	194.0	362.0	42.0	145.0	34.0	432.0	846.0
CCDC88C	1758.0	2474.0	2096.0	179.0	3236.0	666.0	2266.0	424.0	585.0	179.0	185.0	169.0	1787.0	3548.0
YAF2	902.0	1471.0	786.0	208.0	1426.0	433.0	1483.0	328.0	462.0	68.0	135.0	113.0	1018.0	1945.0
ZMYND11	1806.0	1417.0	1026.0	264.0	1587.0	471.0	1567.0	346.0	425.0	197.0	185.0	175.0	706.0	1583.0
WAS	216.0	336.0	321.0	19.0	255.0	39.0	818.0	22.0	24.0	5.0	23.0	5.0	303.0	351.0
DPEP1	2.0	5.0	2.0	16.0	2.0	3.0	3.0	1.0	12.0	0.0	3.0	0.0	1.0	3.0
BID	1472.0	1015.0	692.0	289.0	1073.0	474.0	3034.0	368.0	700.0	46.0	417.0	186.0	995.0	1135.0
MATR3	146.0	135.0	237.0	1.0	214.0	42.0	142.0	25.0	19.0	0.0	4.0	11.0	54.0	205.0
NPC1L1	6.0	3.0	3.0	0.0	6.0	5.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	3.0
XYLT2	420.0	342.0	190.0	11.0	317.0	112.0	394.0	76.0	52.0	19.0	102.0	18.0	196.0	306.0
RGPD5	224.0	156.0	172.0	5.0	220.0	18.0	149.0	12.0	6.0	1.0	1.0	4.0	65.0	166.0
STMN4	1.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NUDCD3	1018.0	1043.0	651.0	33.0	1287.0	340.0	1159.0	260.0	360.0	85.0	151.0	119.0	636.0	1487.0
ISL1	532.0	252.0	221.0	43.0	612.0	365.0	244.0	388.0	595.0	174.0	28.0	51.0	182.0	470.0
CHDH	233.0	143.0	115.0	71.0	251.0	72.0	301.0	66.0	107.0	14.0	5.0	36.0	56.0	239.0
IL20RA	1281.0	1297.0	1021.0	261.0	1633.0	752.0	1200.0	333.0	874.0	286.0	359.0	286.0	909.0	2102.0
CLCA1	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLCA4	608.0	248.0	488.0	140.0	1070.0	122.0	362.0	138.0	211.0	88.0	656.0	40.0	376.0	766.0
GLT8D1	1358.0	1276.0	931.0	428.0	1189.0	632.0	1680.0	532.0	1062.0	293.0	271.0	291.0	1132.0	1569.0
ATP2C1	1230.0	1127.0	1045.0	462.0	1490.0	583.0	1406.0	641.0	829.0	259.0	360.0	246.0	624.0	1458.0
IGF1	178.0	211.0	117.0	22.0	517.0	30.0	316.0	16.0	28.0	5.0	0.0	4.0	67.0	92.0
SLC38A5	711.0	347.0	186.0	346.0	322.0	221.0	893.0	319.0	600.0	145.0	93.0	88.0	234.0	412.0
RALBP1	3414.0	3972.0	2039.0	1041.0	4397.0	1691.0	5676.0	1091.0	2124.0	339.0	636.0	333.0	1801.0	5210.0
RUFY3	1621.0	1432.0	1116.0	70.0	2150.0	321.0	1919.0	223.0	254.0	24.0	68.0	72.0	763.0	2313.0
CNTN1	227.0	143.0	103.0	22.0	156.0	74.0	11.0	27.0	76.0	28.0	74.0	44.0	41.0	74.0
SLC11A1	140.0	180.0	190.0	7.0	370.0	79.0	637.0	17.0	106.0	12.0	7.0	7.0	79.0	430.0
WWTR1	4664.0	2350.0	1728.0	137.0	3319.0	346.0	2774.0	389.0	397.0	223.0	147.0	127.0	1141.0	3002.0
AGPS	605.0	605.0	461.0	135.0	724.0	145.0	806.0	164.0	239.0	112.0	178.0	97.0	380.0	751.0
CXorf56	264.0	323.0	291.0	22.0	548.0	210.0	438.0	108.0	261.0	33.0	46.0	32.0	211.0	643.0
ATP1A2	9.0	20.0	0.0	18.0	27.0	42.0	26.0	4.0	7.0	1.0	2.0	4.0	2.0	10.0
TTC27	495.0	285.0	332.0	86.0	328.0	195.0	419.0	211.0	285.0	104.0	110.0	57.0	239.0	342.0
ZNF582	157.0	89.0	92.0	75.0	110.0	100.0	185.0	75.0	154.0	52.0	42.0	12.0	83.0	136.0
VSIG2	2309.0	1852.0	935.0	1352.0	1286.0	891.0	3298.0	1070.0	1248.0	484.0	773.0	375.0	1523.0	1999.0
PHLDB1	764.0	358.0	259.0	112.0	444.0	231.0	509.0	125.0	241.0	57.0	64.0	68.0	160.0	554.0
MARCO	445.0	155.0	16.0	0.0	159.0	0.0	2169.0	0.0	3.0	22.0	2.0	0.0	0.0	443.0
CYP24A1	116.0	475.0	310.0	52.0	1041.0	115.0	2582.0	123.0	116.0	97.0	48.0	197.0	107.0	433.0
PRDM11	433.0	243.0	255.0	112.0	430.0	118.0	278.0	151.0	223.0	62.0	27.0	51.0	155.0	330.0
SYT13	5.0	7.0	4.0	7.0	13.0	6.0	6.0	2.0	5.0	17.0	0.0	1.0	2.0	1.0
SNAI2	1967.0	754.0	761.0	495.0	914.0	1192.0	857.0	921.0	1498.0	719.0	398.0	411.0	539.0	785.0
CD74	45032.0	49046.0	26609.0	27515.0	30872.0	11902.0	126116.0	35159.0	22780.0	2769.0	12453.0	4703.0	39232.0	62222.0
HGF	26.0	61.0	43.0	18.0	62.0	9.0	79.0	5.0	10.0	1.0	10.0	2.0	9.0	48.0
ZRANB1	1235.0	807.0	705.0	70.0	1211.0	176.0	1069.0	146.0	170.0	74.0	100.0	58.0	546.0	1247.0
NCDN	409.0	356.0	298.0	15.0	434.0	45.0	458.0	64.0	56.0	38.0	23.0	40.0	212.0	535.0
ADGRA2	28.0	117.0	59.0	39.0	47.0	36.0	127.0	17.0	25.0	3.0	35.0	2.0	13.0	35.0
ZFP64	344.0	280.0	245.0	136.0	374.0	259.0	417.0	100.0	369.0	94.0	139.0	56.0	206.0	362.0
MNAT1	1904.0	2555.0	1954.0	622.0	3046.0	995.0	2325.0	632.0	1201.0	267.0	440.0	298.0	2441.0	3598.0
SAMD4A	206.0	136.0	100.0	31.0	171.0	23.0	288.0	22.0	31.0	16.0	13.0	10.0	29.0	197.0
RUNX3	684.0	1039.0	642.0	25.0	1648.0	62.0	2651.0	111.0	145.0	47.0	17.0	18.0	1542.0	1661.0
MRE11A	1262.0	807.0	701.0	85.0	1060.0	227.0	1176.0	272.0	304.0	92.0	75.0	81.0	592.0	1163.0
PLEKHB1	515.0	845.0	672.0	130.0	750.0	245.0	748.0	158.0	232.0	175.0	67.0	187.0	934.0	1317.0
SERPINB1	12347.0	7226.0	4868.0	2012.0	6032.0	1760.0	19572.0	3623.0	3641.0	1162.0	1906.0	1047.0	6810.0	8892.0
CYP3A43	1.0	8.0	20.0	8.0	13.0	21.0	3.0	2.0	10.0	2.0	1.0	1.0	1.0	13.0
SLC7A9	13.0	4.0	10.0	2.0	21.0	1.0	11.0	4.0	1.0	0.0	0.0	1.0	11.0	20.0
SPAST	826.0	605.0	552.0	67.0	714.0	154.0	941.0	163.0	242.0	25.0	105.0	68.0	311.0	699.0
NRXN3	351.0	404.0	261.0	13.0	382.0	73.0	307.0	67.0	52.0	30.0	27.0	40.0	204.0	635.0
OSBPL5	356.0	262.0	168.0	55.0	340.0	140.0	359.0	84.0	154.0	37.0	73.0	32.0	161.0	361.0
AQR	1231.0	1080.0	891.0	175.0	1464.0	407.0	1328.0	335.0	361.0	107.0	132.0	133.0	698.0	1398.0
CPS1	77.0	45.0	35.0	8.0	71.0	22.0	39.0	11.0	21.0	5.0	5.0	4.0	16.0	103.0
C8B	7.0	3.0	0.0	0.0	0.0	1.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
FHL1	510.0	709.0	219.0	499.0	175.0	78.0	558.0	73.0	267.0	40.0	46.0	24.0	115.0	279.0
RTFDC1	2915.0	2016.0	1728.0	963.0	1764.0	1539.0	4557.0	794.0	2246.0	506.0	647.0	320.0	1850.0	2499.0
GABRA1	176.0	30.0	55.0	36.0	43.0	13.0	33.0	4.0	11.0	8.0	30.0	26.0	40.0	60.0
NLRP2	109.0	56.0	24.0	21.0	511.0	36.0	450.0	115.0	97.0	72.0	25.0	11.0	93.0	267.0
SLC45A4	476.0	327.0	341.0	92.0	685.0	88.0	312.0	155.0	128.0	41.0	67.0	48.0	274.0	569.0
RNF10	1676.0	1150.0	1073.0	423.0	1577.0	806.0	2203.0	609.0	824.0	122.0	305.0	230.0	779.0	1745.0
ZNF839	246.0	164.0	186.0	36.0	281.0	58.0	267.0	96.0	128.0	21.0	46.0	33.0	156.0	312.0
ZDHHC6	1130.0	697.0	542.0	146.0	690.0	339.0	1134.0	398.0	413.0	77.0	229.0	145.0	611.0	740.0
GRAMD1B	130.0	66.0	97.0	21.0	203.0	21.0	149.0	8.0	27.0	8.0	14.0	13.0	78.0	145.0
RNH1	9048.0	4960.0	3410.0	3317.0	4070.0	4337.0	10982.0	3292.0	7754.0	1841.0	2446.0	1223.0	4216.0	5186.0
NDUFS1	1663.0	1720.0	1628.0	482.0	2908.0	801.0	2278.0	658.0	720.0	284.0	334.0	208.0	1235.0	2667.0
RB1CC1	4443.0	3363.0	3510.0	572.0	5665.0	947.0	3983.0	742.0	1042.0	531.0	430.0	419.0	3832.0	5930.0
ERP44	2676.0	2139.0	1630.0	884.0	2127.0	1223.0	4448.0	1165.0	1722.0	315.0	953.0	330.0	1909.0	2326.0
ALAS1	1490.0	845.0	649.0	328.0	1207.0	404.0	1164.0	322.0	683.0	117.0	216.0	148.0	631.0	1078.0
BIRC3	13791.0	4223.0	3901.0	168.0	8138.0	417.0	9139.0	615.0	421.0	152.0	302.0	123.0	4295.0	8429.0
